user_id;username;name;follower;following;tweet_cound;list_count;verified;created_at
4811917159;bfsi_financial;Financial News;1102;2;387048;296;False;2016-01-25 10:39:42+00:00
2447921562;Finmarketnews;Davis Bowen;771;0;142759;42;False;2014-04-16 20:02:19+00:00
732361939490312192;CFinancialNews;Community Financial;468;163;1446106;43;False;2016-05-17 00:07:47+00:00
68559732;MarketBeatCom;MarketBeat;13206;2530;1753038;776;False;2009-08-25 00:39:44+00:00
272858172;Pgrecoit;Pasquale;298;74;73769;232;False;2011-03-27 09:42:41+00:00
3044159284;wlstcom;WLST.com;2019;71;402626;1249;False;2015-02-18 01:26:31+00:00
15296897;MarketCurrents;Breaking News;81836;1;943066;2509;False;2008-07-02 10:38:58+00:00
2266388972;midetimes;MidEast Times;681;45;1104630;87;False;2013-12-28 20:16:47+00:00
2525892205;intercooleronli;InterCooler;856;11;1273510;100;False;2014-05-26 21:20:18+00:00
216936416;specstockscom;SpeculatingStocks: Public Companies Raise Funds!;1384;1106;316663;49;False;2010-11-18 03:25:30+00:00
2447921562;Finmarketnews;Davis Bowen;771;0;142759;42;False;2014-04-16 20:02:19+00:00
1979190776;TickerReport;Ticker Report;3951;41;2046538;194;False;2013-10-21 15:58:27+00:00
943845800;marketexclusive;marketexclusive;5048;5244;146978;72;False;2012-11-12 15:47:54+00:00
68559732;MarketBeatCom;MarketBeat;13206;2530;1753038;776;False;2009-08-25 00:39:44+00:00
2266388972;midetimes;MidEast Times;681;45;1104630;87;False;2013-12-28 20:16:47+00:00
732361939490312192;CFinancialNews;Community Financial;468;163;1446106;43;False;2016-05-17 00:07:47+00:00
2795480597;bfinancenews;BreakingFinanceNews;23;0;54784;0;False;2014-09-30 16:40:13+00:00
286774989;usratings;US Stock Ratings;805;3;46619;45;False;2011-04-23 17:31:49+00:00
707095826724745216;Lukas_Knecht;Lukas Knecht;4;36;4;0;False;2016-03-08 06:49:17+00:00
153603735;NewsDen_net;NewsDen;147;10;14999;8;False;2010-06-09 00:17:43+00:00
2416188264;storminvestor;Storm Investor;674;9;998825;19;False;2014-03-28 17:00:55+00:00
2525892205;intercooleronli;InterCooler;856;11;1273510;100;False;2014-05-26 21:20:18+00:00
2447921562;Finmarketnews;Davis Bowen;771;0;142759;42;False;2014-04-16 20:02:19+00:00
2181281054;WKRBNews;WKRB News;1269;9;1720337;141;False;2013-11-08 02:17:02+00:00
2435600154;MosaicGuys;Mosaic Art Designers;349;0;600113;159;False;2014-04-09 15:22:37+00:00
4811917159;bfsi_financial;Financial News;1102;2;387048;296;False;2016-01-25 10:39:42+00:00
4811951173;bfsi_ibb;Investment News;411;2;185421;191;False;2016-01-25 10:50:00+00:00
68559732;MarketBeatCom;MarketBeat;13206;2530;1753038;776;False;2009-08-25 00:39:44+00:00
3816763393;specstockspulse;SpeculatingStocks.com Social Network for Investors;583;441;432176;36;False;2015-10-07 17:57:06+00:00
2298709746;WatchlistN;Watchlist News;3210;11;1345448;160;False;2014-01-19 00:22:08+00:00
2435600154;MosaicGuys;Mosaic Art Designers;349;0;600113;159;False;2014-04-09 15:22:37+00:00
3984369372;Stockaregreat;StocksAreGreat;773;0;31564;13;False;2015-10-22 21:56:20+00:00
