Date,Open,High,Low,Close,Adj Close,Volume
2017-09-19,73.010002,74.769997,73.010002,74.169998,73.983032,108
2017-09-20,74.250000,74.599998,74.250000,74.599998,74.411957,130
2017-09-21,74.120003,74.949997,74.120003,74.949997,74.761063,170
2017-09-22,74.620003,75.000000,74.620003,74.879997,74.691238,160
2017-09-25,75.739998,75.739998,74.879997,75.489998,75.299706,235
2017-09-26,75.000000,75.730003,75.000000,75.730003,75.539108,200
2017-09-27,75.800003,76.500000,75.800003,76.500000,76.307159,500
2017-09-28,76.019997,76.760002,76.019997,76.599998,76.406906,225
2017-09-29,76.989998,77.440002,76.989998,77.410004,77.214867,76
2017-10-02,78.269997,78.500000,76.919998,78.500000,78.302116,227
2017-10-03,78.500000,78.500000,78.500000,78.500000,78.302116,0
2017-10-04,78.160004,79.180000,78.160004,79.180000,78.980408,170
2017-10-05,80.279999,80.279999,79.050003,79.050003,78.850739,211
2017-10-06,78.709999,78.940002,78.709999,78.940002,78.741013,311
2017-10-09,78.709999,79.349998,78.709999,79.349998,79.149971,210
2017-10-10,79.120003,79.750000,79.120003,79.250000,79.050224,525
2017-10-11,79.809998,80.419998,79.809998,80.419998,80.217285,124
2017-10-12,80.139999,80.760002,80.139999,80.660004,80.456680,97
2017-10-13,80.610001,81.349998,80.470001,81.349998,81.144936,510
2017-10-16,81.220001,82.339996,81.220001,82.339996,82.132439,189
2017-10-17,81.510002,82.489998,81.510002,82.489998,82.282066,590
2017-10-18,81.500000,82.260002,81.500000,82.080002,81.873100,82
2017-10-19,82.019997,82.019997,81.500000,81.500000,81.294556,200
2017-10-20,80.800003,80.800003,80.800003,80.800003,80.596321,0
2017-10-23,79.860001,79.919998,79.860001,79.919998,79.718536,100
2017-10-24,80.209999,80.209999,77.510002,77.510002,77.314621,236
2017-10-25,77.589996,78.730003,77.589996,78.269997,78.072693,511
2017-10-26,78.500000,82.500000,78.500000,82.500000,82.292038,3198
2017-10-27,82.949997,84.800003,82.949997,84.709999,84.496468,185
2017-10-30,84.650002,85.309998,84.650002,84.879997,84.666031,104
2017-10-31,84.879997,84.879997,84.879997,84.879997,84.666031,0
2017-11-01,84.900002,85.930000,84.900002,85.930000,85.713394,195
2017-11-02,86.199997,86.199997,86.199997,86.199997,85.982704,0
2017-11-03,84.269997,84.269997,84.269997,84.269997,84.057579,0
2017-11-06,86.389999,86.510002,85.720001,86.510002,86.291931,163
2017-11-07,86.500000,86.500000,85.500000,85.629997,85.414146,137
2017-11-08,81.349998,82.529999,71.199997,81.620003,81.414261,1133
2017-11-09,82.300003,82.949997,81.769997,81.769997,81.563873,335
2017-11-10,80.250000,82.610001,80.250000,82.610001,82.401756,1320
2017-11-13,82.650002,82.959999,82.010002,82.010002,81.803276,451
2017-11-14,83.349998,84.709999,83.349998,84.709999,84.496468,21
2017-11-15,84.000000,84.000000,80.790001,80.790001,80.586349,455
2017-11-16,82.400002,85.199997,82.400002,85.199997,84.985229,1580
2017-11-17,85.099998,88.190002,85.099998,88.190002,87.967697,1253
2017-11-20,86.529999,87.860001,86.139999,87.430000,87.209610,800
2017-11-21,88.199997,88.500000,87.970001,88.199997,87.977669,178
2017-11-22,88.500000,88.500000,88.070000,88.070000,87.848000,1100
2017-11-23,87.000000,88.019997,87.000000,88.000000,87.778175,587
2017-11-24,87.309998,87.760002,87.309998,87.760002,87.538780,110
2017-11-27,86.550003,87.379997,86.550003,87.379997,87.159737,58
2017-11-28,88.500000,89.440002,88.500000,89.129997,88.905327,530
2017-11-29,89.800003,90.220001,89.070000,89.070000,88.845474,685
2017-11-30,86.610001,89.610001,86.610001,89.610001,89.384117,1300
2017-12-01,90.000000,90.000000,88.900002,89.180000,88.955193,71
2017-12-04,90.300003,90.500000,89.910004,89.910004,89.683365,255
2017-12-05,91.500000,91.500000,89.360001,91.000000,90.770615,543
2017-12-06,89.400002,89.400002,89.400002,89.400002,89.174644,0
2017-12-07,90.110001,90.699997,89.430000,90.699997,90.471359,107
2017-12-08,89.820000,89.820000,88.510002,88.510002,88.286896,111
2017-12-11,90.599998,90.599998,89.110001,89.110001,88.885376,58
2017-12-12,88.480003,90.010002,88.480003,90.010002,89.783112,60
2017-12-13,89.949997,89.949997,89.209999,89.209999,88.985123,16
2017-12-14,90.610001,92.099998,90.610001,91.449997,91.219475,111
2017-12-15,92.489998,92.489998,91.669998,91.669998,91.438919,211
2017-12-18,92.019997,92.989998,92.019997,92.550003,92.316711,18
2017-12-19,93.500000,93.580002,92.949997,93.000000,92.765564,162
2017-12-20,93.309998,94.480003,93.309998,93.500000,93.264313,254
2017-12-21,93.599998,93.669998,93.599998,93.650002,93.413933,81
2017-12-22,92.910004,94.349998,92.910004,94.349998,94.112160,139
2017-12-27,94.339996,94.339996,94.339996,94.339996,94.102188,20
2017-12-28,93.150002,93.849998,92.500000,92.500000,92.266830,310
2017-12-29,92.510002,93.070000,92.510002,93.040001,92.805473,106
2018-01-02,93.099998,93.099998,92.220001,92.220001,91.987534,1700
2018-01-03,93.099998,96.239998,93.099998,96.239998,95.997406,300
2018-01-04,96.800003,97.599998,96.459999,97.260002,97.014832,992
2018-01-05,97.360001,100.000000,97.360001,100.000000,99.747925,90
2018-01-08,100.900002,105.099998,100.900002,105.099998,104.835068,1394
2018-01-09,106.349998,107.400002,104.300003,105.699997,105.433548,365
2018-01-10,103.000000,104.050003,102.750000,103.199997,102.939857,450
2018-01-11,103.449997,106.349998,103.449997,105.250000,104.984688,1090
2018-01-12,105.000000,105.000000,104.199997,105.000000,104.735321,65
2018-01-15,105.400002,105.400002,104.300003,104.849998,104.585701,175
2018-01-16,104.250000,105.099998,104.250000,104.250000,103.987206,680
2018-01-17,105.000000,105.000000,104.150002,104.949997,104.685440,158
2018-01-18,105.650002,108.000000,105.650002,108.000000,107.727753,5
2018-01-19,109.599998,110.150002,108.900002,109.449997,109.174095,77
2018-01-22,111.300003,111.300003,110.400002,110.400002,110.121704,38
